year,Observer,prop started set before nautical dawn,mean time after nautical dawn (hrs),sd time after nautical dawn (hrs)
2009,ATF,0.8,-1.40094444444444,2.02931092979717
2010,ATF,0.821428571428571,-2.26525297619048,5.60921760862523
2011,ATF,0.761904761904762,-1.80874338624339,1.91325222158987
2012,ATF,0.933333333333333,-1.45876851851852,0.935045466198126
2016,ATF,1,-1.2325,0.983698273983788
2017,ATF,0.972972972972973,-2.01215465465465,5.20598142305403
2017,FOA,0.964285714285714,-2.14938161375661,1.0931737448211
2018,ATF,0.865384615384615,-1.45279914529915,2.53001384426749
2018,FOA,0.907608695652174,-1.69419006642512,1.99257462011924
