year,Observer,prop set before sunrise,mean time to sunrise (hrs),sd time to sunrise (hrs)
2009,ATF,0.4,0.996833333333333,2.30083400293318
2010,ATF,0.625,-0.227638888888889,1.68100940111047
2011,ATF,0.619047619047619,-0.103108465608466,1.44128606788103
2012,ATF,0.433333333333333,-0.0841481481481482,0.80871900298189
2016,ATF,0.5,-0.329097222222222,0.862904446086664
2017,ATF,0.864864864864865,-0.976689189189189,1.92093325818033
2017,FOA,0.833333333333333,-1.0000496031746,1.10634167640674
2018,ATF,0.673076923076923,-0.314861111111111,2.32982101655821
2018,FOA,0.706521739130435,-0.488756038647343,1.34282212495041
